id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
RR-CAD-01,1,P1,Agent,,Reconcile mast/deck inputs and load-case provenance,NEW cad/roboracer/design-inputs.md; cad/roboracer/parameters.csv,"Retain selected 100 mm length, 20 mm OD, 1.5 mm wall baseline as a design choice, not an inspected specimen. Record 0.175 kg tip-package mass basis, chassis/model wheelbase distinction, load provenance and missing bolt/optical-center dimensions.",Trace inputs to mechanical study and reference outputs; identify assumptions separately from vendor dimensions and physical measurements.,2,done,evidence/task-2026-09-08/README.md,
RR-CAD-02,1,P1,Owner,RR-CAD-01,Approve mechanical interfaces and manufacture/metrology route,NEW cad/roboracer/owner-inputs.md,"Approve stock, mast/root-clamp/fastener and load-height interfaces, fabrication/inspection route, calibrated force instrument and tip/root indicators, bench access and actual lead-time quote. Confirm only the deck-side clamp mating datum; full chassis/deck packaging is not a prerequisite.","Record actual drawing references, interface measurements and tooling resolution against campaign-readiness.md.",2,blocked,,Owner must supply only this task's stated inputs and approvals; unrelated parked branches do not block it.
RR-CAD-08,2,P1,Agent,RR-CAD-01,Establish code-CAD regeneration and CI geometry tests,NEW cad/requirements.lock; cad/generate.py; cad/tests/; .github/workflows/cad-geometry.yml,"Use CadQuery for parameter-driven families and neutral STEP checks, Onshape for hand-modeled fixtures after confirming account/access. Pin Python/CadQuery/OCP dependencies after a clean isolated install and export/reimport smoke test. Add geometry CI before accepting a parametric model; screenshots are supplementary, not acceptance.","python cad/generate.py --parameters cad/roboracer/parameters.csv --output <tmp>; python -m pytest cad/tests -q (22 passed). Contract cad/contract.json with declared tolerances; failure proven on altered parameter, invalid dimensions, missing input, empty pending value, unit mismatch and truncated STEP. Version lock cad/requirements.lock asserted by test. Geometry workflow installed with day-1 stack triggers; hosted geometry and existing CI passed; downloaded STEP checksum/volume validated.",3,done,evidence/review-2026-09-09/hosted-verification.json,
RR-CAD-04,3,P1,Agent,RR-CAD-02;RR-CAD-08,"Model mast, root clamp and LiDAR bracket assembly","NEW cad/roboracer/mast/ (source, STEP, joint details)","Model finite clamp engagement, fasteners, actual load/optical-center height and both axis datums. Keep ideal beam reference separately named; document joint compliance assumptions and material/process.","Generate tube/clamp geometry from parameters.csv, export/reimport STEP, and assert wall/section/volume/density-based mass/load height against analytic expectations and declared tolerances. Exercise bounds, invalid walls and unit errors in CI; inspect joint fits separately.",5,blocked,,Requires acceptance of RR-CAD-02;RR-CAD-08; revised dependencies supersede the prior work order.
RR-CAD-05,4,P1,Agent,RR-CAD-02;RR-CAD-04,Model two-axis loading and displacement-metrology fixture,"NEW cad/roboracer/fixture/ (source, STEP, setup drawings)","Require load-point translational fixture stiffness >=10x specimen stiffness on each axis (nominal approximately 7,760 N/mm for 776 N/mm tube). Provide independent root and tip stations, both 0.001 mm resolution or better, and a method to measure/bound root rotation. Fill/review force, tip, root, rotation, repeatability and reference error budget BEFORE acceptance. Fitted-compliance U95 must satisfy existing <=10% gate; preserve full matrix and >=20 counts at full scale.",Reproduce docs/CAD_MEASUREMENT_CONTRACT.md arithmetic. Check modeled stiffness/lever arms and budget numerically; actual calibration and blank-fixture evidence remain external. A single root translation reading does not remove rotation.,5,blocked,,Requires acceptance of RR-CAD-02;RR-CAD-04; revised dependencies supersede the prior work order.
RR-CAD-06,5,P1,Agent,RR-CAD-04;RR-CAD-05,Prepare geometry-to-FEA and as-built inspection handoff,"NEW cad/roboracer/analysis-export/ (STEP, boundary map, inspection sheet)","Record critical length/OD/wall/clamp/load-height datums, material source, detailed-versus-ideal geometry differences and root constraints. As-built x/y predictions require later inspection and converged solver evidence; nominal CAD cannot fill those records. After fabrication/inspection, commit and push the axis-specific AS-BUILT prediction and inspection-linked reference BEFORE ANY campaign load is applied. reference_commit and model source_commit are separate; test_started_at follows both. Prepared nominal exports do not complete that freeze.",Reopen exports and map each boundary/inspection dimension to the physical reference contract; retain unresolved measurements rather than assumed as-built values. Verify reference/model commits and hashes resolve and precede loading; retain unresolved as-built freeze as an external release gate.,3,blocked,,Requires acceptance of RR-CAD-04;RR-CAD-05; revised dependencies supersede the prior work order.
RR-CAD-07,6,P1,Agent,RR-CAD-04;RR-CAD-05;RR-CAD-06,Release fabrication pack and explanatory mechanical visuals,"NEW cad/roboracer/release/ (BOM, drawings, exports, visual index)","Release mast/clamp and metrology fixture only: source/STEP, toleranced drawings, inspection/FEA mapping, filled reviewed uncertainty budget and lead-time dependency. Full deck packaging is not required. Actual calibration and as-built pre-load freeze remain external gates, not completed work.","Second reviewer reproduces export dimensions, mass/CG frame and fixture setup from pack; RR-S02 remains blocked until actual readiness records arrive.",3,blocked,,Requires acceptance of RR-CAD-04;RR-CAD-05;RR-CAD-06; revised dependencies supersede the prior work order.
RR-CAD-03,conditional,P2,Agent,RR-CAD-07,Model component deck and packaging layout,"NEW cad/roboracer/deck/ (source, STEP, drawing)","Place chassis datums, compute, batteries, LiDAR/mast and service clearances. Preserve documented transponder allocation; capture mass/CG coordinate frame and full steering/suspension envelopes where actual geometry is available.","Check interface fits, sightline and wiring/service access; compare sourced component mass/CG budget and list uncertain rows.",5,deferred,,Deck integration deferred until mast/fixture review and an explicit vehicle-integration milestone.
RR-CAD-09,2026-09-11,P1,Agent,RR-CAD-01,Implement omitted fixture contract schema and comparator,cad/roboracer/fixture-contract.json; cad/fixture_contract.py; cad/tests/test_fixture_contract.py,Unknown targets remain null; mismatched geometry fails; comparison never authorizes fixture release,CAD suite; python cad/fixture_contract.py --check-draft; strict command expected exit 2,3,done,docs/specs/evidence-gap-correction/test-report.md,Actual fixture targets CAD exports commissioning and release remain blocked under RR-CAD-02/04/05/06/07.
RR-CAD-10,2026-09-12,P1,Agent,RR-CAD-09,Reconcile the two competing fixture-contract implementations into one authoritative contract and checker,cad/fixture_contract.py (--refresh/--check/--release added; --check-draft/--geometry unchanged); cad/roboracer/fixture-contract.json derived_from_register section; cad/tests/test_fixture_contract.py 33 tests; docs/CAD_REVIEW_DISPOSITION.md,One contract file and one checker; #17 modes unchanged; register-derived clauses regenerable and staleness-gated; --release refuses while any target or register row is pending; PR #16 disposition recorded; useful tests from both preserved,"python cad/fixture_contract.py --check (current); --release (exit 2, 16 blockers); --check-draft (DRAFT_BLOCKED); python -m pytest -q cad/tests/test_fixture_contract.py (33 passed)",4,done,docs/CAD_REVIEW_DISPOSITION.md,"RR-CAD-02 measurement sitting still fills the five pending rows; modal tap-test generator from PR #16 not carried, open under RR-S11"
