id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
RR-S01,1,P0,Agent,,Capture fresh baseline and reproduce audit finding,evidence/sprint-2026-09-05/baseline.md,Identity and five CI commands recorded; complete repro yields false VALIDATED,Five PYTHONPATH=gym CI commands in SPRINT_ROADMAP.md,2,done,evidence/sprint-2026-09-05/baseline.md,
RR-S02,1,P1,Owner,,Confirm physical readiness and permissions,docs/specs/mast-physical-validation/campaign-readiness.md,Owner records fixture instruments calibration as-built CAD/FEA and reviewer access,Manual owner checklist review,1,blocked,docs/specs/mast-physical-validation/campaign-readiness.md,Owner has not supplied hardware calibration or reviewer availability; physical use blocked until supplied
RR-S03,1,P0,Agent,RR-S01,Record bounded software contract and plan,docs/SPRINT_ROADMAP.md; docs/SPRINT_TASKS.csv,Prospective amendment documents unchanged numeric gates before implementation,Review matrix provenance and synthetic labeling contract,2,done,docs/specs/mast-physical-validation/design.md; docs/SPRINT_ROADMAP.md,
RR-S04,2,P0,Agent,RR-S03,Reject invalid and incomplete measurement matrices,experiments/mast_physical_validation.py; experiments/test_mast_physical_validation.py,Red regressions fail at base; corrected complete fixtures and counterexamples pass,python experiments/test_mast_physical_validation.py,5,done,evidence/sprint-2026-09-05/red-matrix.log; evidence/sprint-2026-09-05/green-portable.log,
RR-S05,3,P0,Agent,RR-S04,Require traceable reference campaign and instrumentation,experiments/mast_physical_validation.py; docs/specs/mast-physical-validation/design.md,Missing nominal-only nonfinite or inconsistent references never validate; synthetic labeled,python experiments/test_mast_physical_validation.py,3,done,evidence/sprint-2026-09-05/red-provenance.log; evidence/sprint-2026-09-05/green-portable.log,
RR-S06,3,P1,Agent,RR-S05,Exercise CLI and reconcile mechanical status,README.md; docs/design/16_mechanical_design_analysis.md; docs/specs/mast-physical-validation/test-report.md,Actual CLI exercised and prerequisites migration documented; physical work remains pending,CLI integration regression plus documentation review,3,done,evidence/sprint-2026-09-05/evaluation-results.json; docs/specs/mast-physical-validation/test-report.md,
RR-S07,4,P0,Agent,RR-S06,Run portable checks and freeze candidate,evidence/sprint-2026-09-05/candidate.json,Five CI entry points compile and whitespace checks pass; source hashes retained,Commands in SPRINT_ROADMAP.md,4,done,evidence/sprint-2026-09-05/candidate.json; evidence/sprint-2026-09-05/green-portable.log,
RR-S08,5,P1,Agent,RR-S07,Run bounded post-freeze developer challenge,evidence/sprint-2026-09-05/evaluation.md,Prior expected judgments and observed outcomes retained; development not independent evidence,Predeclared developer selection procedure in evaluation.md,6,done,evidence/sprint-2026-09-05/evaluation.md; evidence/sprint-2026-09-05/evaluation-results.json,
RR-S09,6,P1,External,RR-S08,Obtain independent review if authorized,docs/REVIEW_READY.md,Actual feedback retained or explicitly pending; request preparation not outreach,Manual external review,2,blocked,,No reviewer or sharing authorization supplied; owner must nominate and authorize
RR-S10,6,P0,Agent,RR-S08,Assemble partial handoff and exact resume state,docs/REVIEW_READY.md; docs/SPRINT_PROGRESS.md,Must-haves linked to evidence; incomplete work and actual commit state explicit,Final tests and git status --short --branch,2,done,docs/REVIEW_READY.md; docs/SPRINT_PROGRESS.md,
